2025-09-22 00:10:51 | INFO | [KRWBTC-20250920-3D849A] 가격=161,556,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:10:56 | INFO | [KRWBTC-20250920-3D849A] 가격=161,556,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:11:01 | INFO | [KRWBTC-20250920-3D849A] 가격=161,567,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:11:06 | INFO | [KRWBTC-20250920-3D849A] 가격=161,558,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:11:11 | INFO | [KRWBTC-20250920-3D849A] 가격=161,567,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:11:16 | INFO | [KRWBTC-20250920-3D849A] 가격=161,558,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:11:21 | INFO | [KRWBTC-20250920-3D849A] 가격=161,558,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:11:26 | INFO | [KRWBTC-20250920-3D849A] 가격=161,558,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:11:31 | INFO | [KRWBTC-20250920-3D849A] 가격=161,558,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:11:36 | INFO | [KRWBTC-20250920-3D849A] 가격=161,558,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:11:41 | INFO | [KRWBTC-20250920-3D849A] 가격=161,558,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:11:46 | INFO | [KRWBTC-20250920-3D849A] 가격=161,558,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:11:51 | INFO | [KRWBTC-20250920-3D849A] 가격=161,556,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:11:56 | INFO | [KRWBTC-20250920-3D849A] 가격=161,556,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:12:01 | INFO | [KRWBTC-20250920-3D849A] 가격=161,556,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:12:06 | INFO | [KRWBTC-20250920-3D849A] 가격=161,556,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:12:11 | INFO | [KRWBTC-20250920-3D849A] 가격=161,556,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:12:16 | INFO | [KRWBTC-20250920-3D849A] 가격=161,555,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:12:21 | INFO | [KRWBTC-20250920-3D849A] 가격=161,556,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:12:26 | INFO | [KRWBTC-20250920-3D849A] 가격=161,555,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:12:31 | INFO | [KRWBTC-20250920-3D849A] 가격=161,554,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:12:36 | INFO | [KRWBTC-20250920-3D849A] 가격=161,554,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:12:41 | INFO | [KRWBTC-20250920-3D849A] 가격=161,554,000 | 평단=162,308,000 | 등락률=-0.46%
2025-09-22 00:12:46 | INFO | [KRWBTC-20250920-3D849A] 가격=161,553,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:12:51 | INFO | [KRWBTC-20250920-3D849A] 가격=161,553,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:12:56 | INFO | [KRWBTC-20250920-3D849A] 가격=161,553,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:13:01 | INFO | [KRWBTC-20250920-3D849A] 가격=161,553,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:13:06 | INFO | [KRWBTC-20250920-3D849A] 가격=161,551,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:13:11 | INFO | [KRWBTC-20250920-3D849A] 가격=161,547,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:13:16 | INFO | [KRWBTC-20250920-3D849A] 가격=161,547,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:13:21 | INFO | [KRWBTC-20250920-3D849A] 가격=161,551,000 | 평단=162,308,000 | 등락률=-0.47%
